nome_cliente,establishment_external_id,material_kind,material_kind_normalizado,service_type,pricing_model,unit_price,unit_price_weekend,unit_price_extra,min_collect_fee,amount_month_min,amount_month_max,min_quantity_price,freight_fee,pricing_ativo,created_at,updated_at
1900 - Aclimação,442d2b8a-9a4a-4b62-87df-993da246a19b,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 17:27:58.912853,
1900 - Aclimação,442d2b8a-9a4a-4b62-87df-993da246a19b,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 17:27:40.366052,
1900 - Brooklin,71650ebb-54ca-4e7b-96b7-0b7700838ae6,CARDBOARD,CARDBOARD,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-04-24 21:19:46.201255,
1900 - Brooklin,71650ebb-54ca-4e7b-96b7-0b7700838ae6,NON_RECYCLABLE,NON_RECYCLABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-04-24 21:20:02.26611,
1900 - Brooklin,71650ebb-54ca-4e7b-96b7-0b7700838ae6,ORGANIC,ORGANIC,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-04-24 21:20:02.11091,
1900 - Brooklin,71650ebb-54ca-4e7b-96b7-0b7700838ae6,RECYCABLE,RECYCABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2024-11-29 12:49:55.65975,
1900 - Brooklin,71650ebb-54ca-4e7b-96b7-0b7700838ae6,WASTE,WASTE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-04-24 21:20:02.208919,
1900 - Cesar Momo,282306be-26a7-4d46-885e-ad06931e5919,CARDBOARD,CARDBOARD,NORMAL,UNITS,3.0,,,,,,,,TRUE,2024-12-27 13:53:11.739131,
1900 - Cesar Momo,282306be-26a7-4d46-885e-ad06931e5919,RECYCABLE,RECYCABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2024-12-27 13:53:24.70735,
1900 - Itaim,8ebf9972-94ce-46e5-ae57-7017bfd3adc3,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-08 11:23:27.512349,
1900 - Itaim,8ebf9972-94ce-46e5-ae57-7017bfd3adc3,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-08 11:23:44.453661,
1900 - Jardins,976ecfe2-0d6c-450e-858d-2ec20a7eff47,CARDBOARD,CARDBOARD,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-03-21 16:45:37.710984,
1900 - Jardins,976ecfe2-0d6c-450e-858d-2ec20a7eff47,RECYCABLE,RECYCABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-03-21 16:45:17.960118,
1900 - Jd. Guedala,9f8817c1-f114-4b5a-9668-69c3f13ac4a7,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 20:01:22.051566,
1900 - Jd. Guedala,9f8817c1-f114-4b5a-9668-69c3f13ac4a7,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 20:01:31.579317,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,CARDBOARD,CARDBOARD,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-02-11 19:19:50.749972,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,GLASS,GLASS,NORMAL,UNITS,11.0,,,,,,,,TRUE,2025-07-31 22:01:55.616552,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,NON_RECYCLABLE,NON_RECYCLABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-02-11 19:19:36.410091,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,ORGANIC,ORGANIC,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-02-11 19:19:36.479874,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,RECYCABLE,RECYCABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-02-11 19:19:36.356077,
1900 - Moema,2dea6ae1-ebfc-4355-aba0-3e57ca96229e,WASTE,WASTE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-02-11 19:19:36.383269,
1900 - Perdizes,693f74d4-47ed-4eb8-9314-5d44fa2512e2,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 19:53:04.89151,
1900 - Perdizes,693f74d4-47ed-4eb8-9314-5d44fa2512e2,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 19:54:20.970071,
1900 - Pinheiros,ae4e592c-c074-44f2-9e5a-649394eef979,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-09-08 13:20:47.723581,
1900 - Pinheiros,ae4e592c-c074-44f2-9e5a-649394eef979,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-09-08 13:20:33.695487,
1900 - Tatuapé,5f3b9025-e481-4a55-b8fb-b991b8acf0de,CARDBOARD,CARDBOARD,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-03-25 19:18:29.201444,
1900 - Tatuapé,5f3b9025-e481-4a55-b8fb-b991b8acf0de,RECYCABLE,RECYCABLE,NORMAL,UNITS,3.0,,,,,,,,TRUE,2025-03-25 19:18:43.096917,
1900 - Vila Leopoldina,1081c4d2-6e82-4c0c-8479-a02aa08625a1,CARDBOARD,CARDBOARD,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 17:19:33.610695,
1900 - Vila Leopoldina,1081c4d2-6e82-4c0c-8479-a02aa08625a1,RECYCABLE,RECYCABLE,NORMAL,UNITS,4.65,,,,,,,,TRUE,2025-07-07 17:19:21.954601,
420.25 - BER - Blue Tree - Morumbi,98fc1f40-858e-4087-8cd6-bd03f19da3f0,RUBBLE,RUBBLE,NORMAL,UNITS,435.0,,,,,,,,TRUE,2025-05-23 19:37:01.019867,
